human,drosophila,yeast
P10914,P18102,P25502
Q01538,P07909,P05085
Q92754,Q9VGQ5,P19541
Q9HCU5,Q9VRA7,Q03833
Q96BR9,Q9VYG2,P41696
P78415,Q9VDR1,P36093
Q8WYB5,Q9V3B6,P0CY06
Q6ZNB6,Q9VH87,Q00453
Q8NCA9,Q9Y1P6,Q12244
Q8N720,P42003,Q12180
Q8N143,Q24459,P43634
O14628,Q9VBM4,P41813
P10589,Q9W3W4,Q08182
P14653,Q06453,P39520
P40426,Q9VH75,Q12507
Q70Z35,Q9VS05,P39970
Q7L945,Q86BK9,P40209
Q03936,Q9VIS7,P43574
Q96ND8,A1Z7A6,Q12224
Q5SXM2,Q9Y169,Q04052
P61201,Q8SYU8,P38704
Q05925,P16241,Q06596
O15090,Q9VDN4,P39113
P16455,P42279,Q06595
Q9NW64,Q9W0P9,P39961
P18848,Q9VXK5,P38749
Q9H898,Q9VIP1,Q03081
O96028,O77460,P15315
Q63HK5,Q9VTE8,P53968
Q99743,Q9VXT1,P52960
Q12948,Q9VFK6,P36167
Q96BV0,Q8MSJ7,P47988
Q8TF68,Q9VVQ2,P29547
Q13106,Q9W410,P32432
P79522,E1JH59,P06774
Q8TBC5,X2JIB5,P10961
Q14587,Q9VM37,P26370
Q9NU39,Q9VSD9,Q06149
Q9BYU1,Q9VJP5,P32805
Q96KR1,Q9VDQ4,P22035
P01106,Q9VEL2,P42845
P35789,Q9VR07,P21190
Q96NK8,Q86PC9,P38128
Q96C55,P13097,Q12151
Q9ULD9,Q7K4R6,P38141
Q5VV16,Q9VAF2,P38699
Q9NPC8,Q9VK36,Q12531
Q14119,Q9VPL4,P40569
Q13207,P25161,Q07928
O00231,Q9V5C6,Q07471
O60248,O76460,P13434
Q10586,Q9VJ16,Q12753
Q9UII5,P98149,P21192
Q9H4Q4,Q9VRX0,Q12041
Q9P0K8,Q9W3X0,Q12398
O43474,Q01071,P18412
Q9NUA8,Q9VXS5,P32633
P52951,Q9VWP9,P14164
Q8IVC4,Q9VQ30,P41546
Q6VB84,Q9U405,P40971
