g006369.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final	g006369.m1_yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003239.m1_yHMPu5000034978_cyberlindnera_mrakii_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003212.m1_yHMPu5000035687_cyberlindnera_suaveolens_160613.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g002763.m1_yHMPu5000035699_cyberlindnera_maclurae_160613.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000568.m1_yHMPu5000034966_cyberlindnera_sargentensis_160519.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003377.m1_yHMPu5000035324_cyberlindnera_subsufficiens_A3_201018.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003648.m1_yHMPu5000037872_cyberlindnera_euphorbiiphila_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004312.m1_yHMPu5000038113_candida_adriatica_170912.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003973.m1_yHMPu5000038346_cyberlindnera_rhodanensis_170713.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g001412.m1_yHMPu5000034980_cyberlindnera_lachancei_160519.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005103.m1_yHMPu5000037870_candida_sp_170912.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003803.m1_yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000610.m1_yHMPu5000037256_cyberlindnera_galapagoensis_210210.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003091.m1_yHMPu5000035336_cyberlindnera_jadinii_180604.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g000536.m1_yHMPu5000038068_cyberlindnera_samutprakarnensis_170912.haplomerger2.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g005060.m1_yHMPu5000037905_candida_odintsovae_180604.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g004297.m1_yHMPu5000035271_wickerhamomyces_bovis_160928.final
g006275.m1_yHMPu5000035686_Cyberlindnera_saturnus_SPADES.final	g003581.m1_yHMPu5000038396_candida_dajiaensis_170713.final
