From	Entry	Organism
A0A1L8FFY5	A0A1L8FFY5	Xenopus laevis (African clawed frog)
A1L0Z1	A1L0Z1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A7Y7W2	A7Y7W2	Gallus gallus (Chicken)
B3DM23	B3DM23	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
B3DM25	B3DM25	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
B7ZQA9	B7ZQA9	Xenopus laevis (African clawed frog)
D3ZTL1	D3ZTL1	Rattus norvegicus (Rat)
G3V7L5	G3V7L5	Rattus norvegicus (Rat)
O97552	O97552	Bos taurus (Bovine)
P09086	P09086	Homo sapiens (Human)
P10036	P10036	Bos taurus (Bovine)
P10037	P10037	Rattus norvegicus (Rat)
P13528	P13528	Caenorhabditis elegans
P14859	P14859	Homo sapiens (Human)
P15143	P15143	Gallus gallus (Chicken)
P16143	P16143	Xenopus laevis (African clawed frog)
P16241	P16241	Drosophila melanogaster (Fruit fly)
P17208	P17208	Mus musculus (Mouse)
P20263	P20263	Mus musculus (Mouse)
P20264	P20264	Homo sapiens (Human)
P20265	P20265	Homo sapiens (Human)
P20267	P20267	Rattus norvegicus (Rat)
P20268	P20268	Caenorhabditis elegans
P20912	P20912	Xenopus laevis (African clawed frog)
P20913	P20913	Xenopus laevis (African clawed frog)
P20914	P20914	Xenopus laevis (African clawed frog)
P21952	P21952	Mus musculus (Mouse)
P24350	P24350	Drosophila melanogaster (Fruit fly)
P25425	P25425	Mus musculus (Mouse)
P28069	P28069	Homo sapiens (Human)
P31360	P31360	Mus musculus (Mouse)
P31361	P31361	Mus musculus (Mouse)
P31362	P31362	Mus musculus (Mouse)
P31363	P31363	Xenopus laevis (African clawed frog)
P31364	P31364	Xenopus laevis (African clawed frog)
P31365	P31365	Xenopus laevis (African clawed frog)
P31367	P31367	Danio rerio (Zebrafish) (Brachydanio rerio)
P31368	P31368	Drosophila melanogaster (Fruit fly)
P31369	P31369	Drosophila melanogaster (Fruit fly)
P31370	P31370	Dugesia japonica (Planarian)
P31503	P31503	Rattus norvegicus (Rat)
P41934	P41934	Caenorhabditis elegans
P42571	P42571	Rattus norvegicus (Rat)
P49335	P49335	Homo sapiens (Human)
P55968	P55968	Gallus gallus (Chicken)
P56222	P56222	Rattus norvegicus (Rat)
P56223	P56223	Rattus norvegicus (Rat)
P56224	P56224	Danio rerio (Zebrafish) (Brachydanio rerio)
P56225	P56225	Rattus norvegicus (Rat)
P62515	P62515	Mus musculus (Mouse)
P70030	P70030	Xenopus laevis (African clawed frog)
P78424	P78424	Homo sapiens (Human)
P79364	P79364	Ovis aries (Sheep)
P79745	P79745	Danio rerio (Zebrafish) (Brachydanio rerio)
P79746	P79746	Danio rerio (Zebrafish) (Brachydanio rerio)
Q00196	Q00196	Mus musculus (Mouse)
Q00286	Q00286	Mus musculus (Mouse)
Q01851	Q01851	Homo sapiens (Human)
Q01860	Q01860	Homo sapiens (Human)
Q03052	Q03052	Homo sapiens (Human)
Q04788	Q04788	Sus scrofa (Pig)
Q05749	Q05749	Meleagris gallopavo (Wild turkey)
Q06416	Q06416	Homo sapiens (Human)
Q07916	Q07916	Mus musculus (Mouse)
Q08478	Q08478	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q12837	Q12837	Homo sapiens (Human)
Q14863	Q14863	Homo sapiens (Human)
Q15319	Q15319	Homo sapiens (Human)
Q17237	Q17237	Bombyx mori (Silk moth)
Q24705	Q24705	Drosophila virilis (Fruit fly)
Q28503	Q28503	Macaca mulatta (Rhesus macaque)
Q28BL7	Q28BL7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q29013	Q29013	Sus scrofa (Pig)
Q29076	Q29076	Sus scrofa (Pig)
Q29087	Q29087	Sus scrofa (Pig)
Q4QQQ7	Q4QQQ7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q561L5	Q561L5	Xenopus laevis (African clawed frog)
Q5TM49	Q5TM49	Macaca mulatta (Rhesus macaque)
Q63262	Q63262	Rattus norvegicus (Rat)
Q63934	Q63934	Mus musculus (Mouse)
Q63955	Q63955	Mus musculus (Mouse)
Q6DJN3	Q6DJN3	Xenopus laevis (African clawed frog)
Q7T103	Q7T103	Xenopus laevis (African clawed frog)
Q7YR49	Q7YR49	Pan troglodytes (Chimpanzee)
Q812B1	Q812B1	Mesocricetus auratus (Golden hamster)
Q8BJI4	Q8BJI4	Mus musculus (Mouse)
Q8N7G0	Q8N7G0	Homo sapiens (Human)
Q90270	Q90270	Danio rerio (Zebrafish) (Brachydanio rerio)
Q90435	Q90435	Danio rerio (Zebrafish) (Brachydanio rerio)
Q90482	Q90482	Danio rerio (Zebrafish) (Brachydanio rerio)
Q91169	Q91169	Oncorhynchus keta (Chum salmon) (Salmo keta)
Q91989	Q91989	Xenopus laevis (African clawed frog)
Q91998	Q91998	Gallus gallus (Chicken)
Q9DAC9	Q9DAC9	Mus musculus (Mouse)
Q9TSV5	Q9TSV5	Sus scrofa (Pig)
Q9TTI7	Q9TTI7	Canis lupus familiaris (Dog) (Canis familiaris)
Q9UKI9	Q9UKI9	Homo sapiens (Human)
Q9VK71	Q9VK71	Drosophila melanogaster (Fruit fly)
Q9YGL7	Q9YGL7	Gallus gallus (Chicken)
A0A060KY90	A0A060KY90	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A0N7KIY3	A0A0N7KIY3	Oryza sativa subsp. japonica (Rice)
A0A0P0WQ90	A0A0P0WQ90	Oryza sativa subsp. japonica (Rice)
A0A0R4IBL7	A0A0R4IBL7	Danio rerio (Zebrafish) (Brachydanio rerio)
A0A0U2WFX7	A0A0U2WFX7	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)
A0A286LEZ9	A0A286LEZ9	Psilocybe cyanescens
A0A2R6QE26	A0A2R6QE26	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)
A0A3Q7ELQ2	A0A3Q7ELQ2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A3Q7H216	A0A3Q7H216	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A3Q7HES4	A0A3Q7HES4	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A3Q7HRZ6	A0A3Q7HRZ6	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A5K7RLP0	A0A5K7RLP0	Mus musculus (Mouse)
A0MLS5	A0MLS5	Equus caballus (Horse)
A1YFY6	A1YFY6	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YG22	A1YG22	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A2AWL7	A2AWL7	Mus musculus (Mouse)
A2T6X9	A2T6X9	Pan troglodytes (Chimpanzee)
A2T713	A2T713	Pan troglodytes (Chimpanzee)
A2T7L5	A2T7L5	Pongo pygmaeus (Bornean orangutan)
A2T7L8	A2T7L8	Pongo pygmaeus (Bornean orangutan)
A2WZ60	A2WZ60	Oryza sativa subsp. indica (Rice)
A2X9L8	A2X9L8	Oryza sativa subsp. indica (Rice)
A2XD15	A2XD15	Oryza sativa subsp. indica (Rice)
A2XY47	A2XY47	Oryza sativa subsp. indica (Rice)
A2YAW8	A2YAW8	Oryza sativa subsp. indica (Rice)
A2YXI4	A2YXI4	Oryza sativa subsp. indica (Rice)
A2Z730	A2Z730	Oryza sativa subsp. indica (Rice)
A3KNA7	A3KNA7	Danio rerio (Zebrafish) (Brachydanio rerio)
A3KNX5	A3KNX5	Danio rerio (Zebrafish) (Brachydanio rerio)
A4D998	A4D998	Arabidopsis thaliana (Mouse-ear cress)
A4IFU7	A4IFU7	Bos taurus (Bovine)
A6NFD8	A6NFD8	Homo sapiens (Human)
A6NI15	A6NI15	Homo sapiens (Human)
A8E5T6	A8E5T6	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A9YTQ3	A9YTQ3	Homo sapiens (Human)
B0XU60	B0XU60	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)
B3F209	B3F209	Ovis aries (Sheep)
