A0A0P0WV74	A0A0P0WV74
P31503	P31503
P31503	P16143
P31503	E9Q6Z8
P31503	A0A0A0MQM6
P31503	O42276
P31503	O57602
P31503	A0A8I5KYI8
P31503	H0YKT2
P31503	A0A0G2K3R5
P31503	A0A0G2KAN4
P31503	B5ME60
P67701	P67701
P67700	P67700
P67700	Q7A224
Q45782	Q45782
P09067	P09067
P09067	P09079
P09067	Q2PFU4
P09067	Q9CZV0
P09067	U3CUB1
P09067	K7CJS4
P09067	Q588G6
P09067	Q5I188
P09067	A0A223AB95
P09067	B3SUD3
P09067	E1U314
P09067	P20719
P09067	Q6B3N0
P09067	A0A0F7VFS8
P09067	Q6FG31
P09067	H2QUB6
P09067	Q2HJ67
P09067	Q3UNA0
P09067	B0VXK6
P09067	P09021
P09067	F7D5Q3
P09067	A0A223AB61
P09067	Q001E8
P09067	B3SUC3
P09067	Q9PWL2
P09067	V9LAB4
P09067	A0A223AB86
P09067	Q588G1
P09067	B3SUA1
P09067	B3SU93
P09067	Q08B46
P09067	P32043
P09067	Q00444
P09067	P09074
P09067	B3DIP7
P09067	Q6T4R2
P09067	B9WZE2
P09067	C6L7U7
P09067	A0A1X9PQA3
P09067	B3DI27
P09067	Q9YGT6
P09067	P09013
P09067	A0FDP4
P09067	P09019
P09067	W5U8Y1
P09067	F6Q943
P09067	P09014
P09067	B3SUE6
P09067	B3SU83
P09067	B3SU74
P09067	Q9U715
P19219	P19219
P95251	P95251
Q95YM8	Q95YM8
Q05587	Q05587
A0A494C1K3	A0A494C1K3
A0A494C1K3	A0A0G2K4T7
A0A494C1K3	U3EEH0
A0A494C1K3	H9EN54
A0A494C1K3	U3FGI4
A0A494C1K3	A0A1B0GWN0
A0A494C1K3	U3FKM1
A0A494C1K3	A0A1W6S962
A0A494C1K3	H9YXA3
A0A494C1K3	U3FPV2
A0A494C1K3	A0A287B4N0
A0A494C1K3	H9YXA4
A0A494C1K3	A0A5G2QDT5
A0A494C1K3	I0FR62
A0A494C1K3	A0A5G2R1H2
A0A494C1K3	I2CU05
A0A494C1K3	K6ZW64
A0A494C1K3	A0A8I5ZK83
A0A494C1K3	K7B7I3
A0A494C1K3	A0A8I5ZRM5
A0A494C1K3	K7BBK4
A0A494C1K3	A0A8I6ALH4
A0A494C1K3	K7BMP6
A0A494C1K3	A0A8I6AST1
A0A494C1K3	K7CB73
A0A494C1K3	K7CIU1
A0A494C1K3	F1RJL2
A0A494C1K3	K7CPW9
A0A494C1K3	K7DNM4
A0A494C1K3	I3LSG1
A0A494C1K3	Q3UHU8
A0A494C1K3	K9J044
A0A494C1K3	K9J3C8
A0A494C1K3	Q499G6
A0A494C1K3	P78347
A0A494C1K3	U3B4C5
A0A494C1K3	Q9ESZ8
A0A494C1K3	A8K9W7
A0A494C1K3	U3BP17
A0A494C1K3	Q5U2Y1
A0A494C1K3	B4DH52
A0A494C1K3	U3CC03
A0A494C1K3	F6XFS4
A0A494C1K3	F7GXN0
A0A494C1K3	A0A5K1VLI8
A0A494C1K3	A0A8I5KVB5
A0A494C1K3	A0A8V1AHY2
A0A494C1K3	A0A8V1ALY0
A0A494C1K3	A7MB80
A0A494C1K3	V9KAI9
A0A494C1K3	V9KF00
A0A8W4FDN8	A0A8W4FDN8
A0A8W4FDN8	A0A5G2RCF5
Q5SZE2	Q5SZE2
Q5SZE2	D3Z4M2
Q5SZE2	H0YKR4
Q9HZR6	Q9HZR6
Q9HZR6	P75952
Q9HZR6	P39334
Q9HZR6	Q0RX74
A0A1P8B194	A0A1P8B194
A0A804QPX8	A0A804QPX8
O54180	O54180
O54180	Q81BJ4
O54180	Q9RK47
O54180	A0R6I8
O54180	A0A0E4AFE3
Q0S8Y3	Q0S8Y3
Q79VH8	Q79VH8
Q79VH8	A0R089
Q8I5Y7	Q8I5Y7
P25042	P25042
A0A498MHF5	A0A498MHF5
P40631	P40631
A0A0H5AXR2	A0A0H5AXR2
A0A7I2V5F6	A0A7I2V5F6
A0A7I2V5F6	A0A7I2V311
Q8I3I6	Q8I3I6
Q8I3I6	A0A8M2BCE3
Q8I3I6	A5PMS9
Q8I3I6	A0A287AZ79
Q8I3I6	A0A8I6AT57
Q8I3I6	A0A287B5G9
Q8I3I6	A0A182CBM8
Q8I3I6	A0A287B6H9
Q8I3I6	A0A8L2R623
Q8I3I6	A0A8L2R7J3
Q8I3I6	U3BJP1
Q8I3I6	O35643
Q8I3I6	A0A8V0WZY4
Q8I3I6	H9ETX7
Q8I3I6	Q68DI0
Q8I3I6	A0A3Q2H7A7
Q8I3I6	A0A8V0X519
Q8I3I6	K9J387
Q8I3I6	U3C4C5
Q8I3I6	A0A3Q2HKA3
Q8I3I6	Q5SWR1
Q8I3I6	K9J3Y6
Q8I3I6	V9KA66
Q8I3I6	P63009
Q8I3I6	Q3ZB97
Q8I3I6	A0A3Q2L5B6
Q8I3I6	A0A3Q2LC82
Q8I3I6	U3CS25
Q8I3I6	A0A480V5W1
Q8I3I6	A0A8W4F779
Q8I3I6	H9FQM5
Q8I3I6	A0A498MT56
Q8I3I6	U3DW15
Q8I3I6	A0A498NK81
Q8I3I6	A0A9L0S106
Q8I3I6	I0FGI0
Q8I3I6	U3E9E9
Q8I3I6	W5UMD2
Q8I3I6	A0A4X1T854
Q8I3I6	A0A8W4FC98
Q8I3I6	A0A810VD91
Q8I3I6	A0A087X253
Q8I3I6	A0A9L0TPM6
Q8I3I6	A0A9L0RSW4
Q8I3I6	Q7ZYG7
Q8I3I6	A0A9L0TQP3
Q8I3I6	A0A9L0RX00
Q8I3I6	A0A0F7ZEM9
Q8I3I6	I0FPK3
Q8I3I6	M1EDR0
Q8I3I6	P52303
Q8I3I6	A0A1D5PXH0
Q8I3I6	F7CLY2
Q8I3I6	H3BIY9
Q8I3I6	P62944
Q8I3I6	H3BKM0
Q8I3I6	A1L2H5
Q8I3I6	J3RYE4
Q8I3I6	U3EYD3
Q8I3I6	Q3TVN4
Q8I3I6	K9IUH3
Q8I3I6	Q10567
Q8I3I6	A8K0G3
Q8I3I6	Q3U1K9
Q8I3I6	A8K916
Q8I3I6	K6ZFI0
Q8I3I6	A0AB32TTJ4
Q8I3I6	B2GUA2
Q8I3I6	K7A6Z1
Q8I3I6	U3F989
Q8I3I6	A0AB32TUI6
Q8I3I6	Q9DBG3
Q8I3I6	A0AB32TV77
Q8I3I6	K7B9X4
Q8I3I6	A0A8V1ALB1
Q8I3I6	A0AB32TWR1
Q8I3I6	F6X9S1
Q8I3I6	U3FTM6
Q8I3I6	K7CF89
Q8I3I6	A0A8I5ZYC5
Q8I3I6	K7D6I3
Q8I3I6	Q6NYJ9
Q8I3I6	A0A5K1VPP7
Q8I3I6	A0A286ZWT0
Q8I3I6	Q08DS7
Q8I3I6	B4DWG4
Q8I3I6	G2HIS7
Q8I3I6	Q5R7H7
Q8I3I6	A0A8M2BCH0
Q8I3I6	F1RFI2
Q8I3I6	A0A8I6AM50
Q8I3I6	V9IAN3
Q8I3I6	V9I9B6
Q8I3I6	A0A6A7G616
Q8I3I6	C1LGR0
Q8I3I6	C1LGR1
Q8I3I6	A0A6F9D791
Q8I3I6	A0A3Q2LQ45
Q8I3I6	A0A2L2Y0R1
Q8I3I6	F4JNZ8
Q8I3I6	O81742
Q8I3I6	B8LNI5
Q8I3I6	A0A1P8B3B6
Q8I3I6	Q9SUS3
Q8I3I6	A0A0M5JCU5
Q8I3I6	F2DKP3
Q8I3I6	K7WDG3
Q8I3I6	A0A804LKG3
Q8I3I6	Q0DRT9
Q8I3I6	F7CM57
Q8I3I6	F1KSB8
Q8I3I6	Q9N4F3
Q8I3I6	Q5SVG4
Q8I3I6	Q8CC13
Q8I3I6	Q5SVG5
Q8N100	Q8N100
Q8N100	Q8JHA0
Q8N100	O57598
Q8N100	Q9Z2E5
Q8N100	V9LJW4
D6RED4	D6RED4
A0A494C1C1	A0A494C1C1
A0A494C1C1	A0A0N4SVF6
B6TJC2	B6TJC2
B6TJC2	Q5JNS0
F8WBI0	F8WBI0
F8WBI0	Q7TNY9
P13988	P13988
Q09555	Q09555
D4GPG1	D4GPG1
P76086	P76086
Q5Z8L1	Q5Z8L1
A0A3B3ITI0	A0A3B3ITI0
A0A3B3ITI0	A0A3B3ISI1
A0A3B3ITI0	A0A3B3IT19
A0A3B3ITI0	Q3V1G6
A0A3B3ITI0	Q3UPM9
A0A3B3ITI0	A5PKX7
A0A3B3ITI0	Q5REC7
D4GP42	D4GP42
D4GP42	B0R9X6
D4GP42	C8WQP8
D4GP42	P0ACN4
D4GP42	P16528
D4GP42	A1B8Z4
D4GP42	Q43992
D4GP42	O83046
D4GP42	P76268
D4GP42	P37728
D4GP42	P77300
D4GP42	P42968
D4GP42	Q9WXS0
D4GP42	P37671
D4GP42	Q8VPD8
D4GP42	Q0SH23
D4GP42	Q88N41
D4GP42	Q52154
D4GP42	Q0SE57
I6Y8F7	I6Y8F7
Q8RWR2	Q8RWR2
A0A0K3AR63	A0A0K3AR63
A0A0K3AR63	A0A0K3AR95
A0A0K3AR63	O16850
A0A0K3AR63	A0A0K3ATP5
A0A0K3AR63	A0A0K3AWG6
A0A0K3AR63	L0CML2
A0A0K3AR63	B3G3K0
A0A0K3AR63	B3G3K1
A0A0K3AR63	A0A1C9U433
A0A0K3AR63	A0A158P5Q2
A0A0K3AR63	D3UFA8
A0A0K3AR63	D3UFA7
A0A3Q1M6V0	A0A3Q1M6V0
A0A3Q1M6V0	A0A8I6AFS6
A0A3Q1M6V0	D3Z722
D3ZCR5	D3ZCR5
D3ZCR5	F7HMZ1
D3ZCR5	H9F8N7
D3ZCR5	G9K7W5
D3ZCR5	Q9BRS8
D3ZCR5	F7GPJ2
D3ZCR5	A6H7E4
D3ZCR5	Q8BN59
D3ZCR5	K9IY60
D3ZCR5	A3KP60
D3ZCR5	Q6PHD4
D3ZCR5	V9KLY4
D3ZCR5	Q66IG7
D3ZCR5	Q3KQ50
D3ZCR5	A0A8V1AKD0
D3ZCR5	A0A6F9DJS2
D3ZCR5	A0A6A7G2Q0
D3ZCR5	V9IKZ9
D3ZCR5	A9ULY1
D3ZCR5	Q0IHM0
P15871	P15871
P15871	P15872
P77732	P77732
Q9K973	Q9K973
Q9K973	P17893
Q9K973	O31408
Q9K973	P63580
Q9K973	Q8GND0
Q9K973	D9QA55
Q9K973	P0A6D0
Q9K973	Q7MP98
Q9K973	P0A1B3
Q9K973	P9WPY9
Q9K973	Q9L1A5
A0A0H3LYW6	A0A0H3LYW6
A0A0H3LYW6	P16684
A0A0H3LYW6	Q92A11
A0A0H3LYW6	A9CEY8
A0A287BKZ9	A0A287BKZ9
A0A498LR71	A0A498LR71
B7PF52	B7PF52
C7P2E9	C7P2E9
H0YC73	H0YC73
P95098	P95098
Q3J357	Q3J357
Q3J357	Q5LST8
Q5HKZ1	Q5HKZ1
Q6GEG9	Q6GEG9
Q83TD2	Q83TD2
Q8YVV6	Q8YVV6
Q9VML1	Q9VML1
A0A498LY22	A0A498LY22
A0A498LY22	P23768
A0A498LY22	P23767
A0A498LY22	B7ZR33
A0A498LY22	B7ZRR7
A0A498LY22	B7ZRS1
A0A8I5QJC6	A0A8I5QJC6
A0A8I5QJC6	A0A8K1R5S5
A0A8I5QJC6	Q80V49
A0A8I5QJC6	A0A8I5QL28
A0A8I5QJC6	Q3TYJ5
A0A8I5QJC6	A0A1E1X4C1
A0A8I5QJC6	A0A131XKL6
A0A8I5QJC6	A0A1E1XPB9
A0A8I5QJC6	L7LXV9
A0A8I5QJC6	V5IDN0
A0A8I5QJC6	M1EQD7
A0A8I5QJC6	K9J5P2
A0A8I5QJC6	B3DHN2
A0A8I5QJC6	A0A8I5KZ80
A0A8I5QJC6	A0A1B0GRZ5
A0A8I5QJC6	F6ZU47
A0A5G2RLU2	A0A5G2RLU2
A0A5G2RLU2	E0CXT7
A0A5G2RLU2	O19137
A0A5G2RLU2	Q66KE3
A0A5G2RLU2	A0A480Y2Q2
A0A5G2RLU2	A0A1E1XDJ0
A0A5G2RLU2	A0A8M9PJH3
A0A5G2RLU2	B2LVG5
A0A5G2RLU2	B2LVG6
A0A5G2RLU2	E3TFL1
A0A5G2RLU2	H2QV04
A0A5G2RLU2	H9FP23
A0A5G2RLU2	Q98881
A0A5G2RLU2	J3SBZ8
A0A5G2RLU2	K7DTE1
A0A5G2RLU2	K9IH24
A0A5G2RLU2	K9IIQ5
A0A5G2RLU2	Q6DJP7
A0A5G2RLU2	U3F879
A0A5G2RLU2	V9KQY4
A0A5G2RLU2	O95639
A0A1D5NS60	A0A1D5NS60
Q9UK33	Q9UK33
Q9UK33	F7I7Z6
Q9UK33	H9ES24
Q9UK33	Q9DB38
Q9UK33	I0FLE1
Q9UK33	F6RZX7
Q9UK33	Q9P0T4
Q9UK33	G9KZH5
Q9UK33	I0FIF3
Q9UK33	U3DZ03
Q9VXG1	Q9VXG1
Q9VXG1	B7Z0Z1
Q9P7L8	Q9P7L8
Q9P7L8	C6KT39
Q9P7L8	D5KY59
Q9P7L8	A0A4Y7MYP9
Q9P7L8	A0A4Y7LR36
Q9P7L8	A0A4Y7NJ59
Q9P7L8	A0A4Y7M3T1
Q9P7L8	A0A4Y7NKW4
Q9P7L8	A0A4Y7NML7
Q9P7L8	A0A4Y7M8M2
Q9P7L8	A0A4Y7NQV5
Q9P7L8	A0A0P5T401
Q9P7L8	E9GVV4
Q9P7L8	C4WSF8
Q9P7L8	G3MG56
Q9P7L8	D3YW09
Q9P7L8	D2DST6
Q9P7L8	Q9VU15
Q9P7L8	A0A069DQT2
Q9P7L8	U5EQI1
Q9P7L8	W8BQM1
Q9P7L8	A0A0P4VHH1
Q9P7L8	A0A023ELB1
Q9P7L8	D3TMM7
Q9P7L8	J3JY54
Q9P7L8	T1PGS2
Q9P7L8	A0A0K8TKY6
Q9P7L8	F1KYW4
Q9P7L8	Q19335
Q9P7L8	A0A6A7G6T9
Q9P7L8	A0A498MZH9
Q9P7L8	C0H9D6
Q9P7L8	Q1RPZ2
Q9P7L8	Q7ZVD4
Q9P7L8	A0A023FK95
Q9P7L8	A0A023GGT0
Q9P7L8	G3MP46
Q9P7L8	B7P952
Q9P7L8	A0A131XLK1
Q9P7L8	A0A1E1X4Z2
Q9P7L8	A0A023FXZ9
Q9P7L8	H9FM56
Q9P7L8	H9BA09
Q9P7L8	O80897
Q9P7L8	U6DN76
Q9P7L8	D0VEA2
Q9P7L8	A0A804LHJ4
Q9P7L8	Q6PLQ0
Q9P7L8	Q07350
A0A0A0MT54	A0A0A0MT54
A0A0A0MT54	J3KNN9
A0A0A0MT54	I0FUW7
A0A0A0MT54	H0Y7K5
A0A0A0MT54	I0FUW8
A0A0A0MT54	P19544
A0A0A0MT54	P22561
A0A0A0MT54	O62651
A0A0A0MT54	F6Y2T6
A0A0A0MT54	P49952
A0A0A0MT54	I0FUW6
A0A0A0MT54	A0AAY4DLX3
A0A0A0MT54	Q9W611
A0A0A0MT54	A0A6H0DVL3
A0A0C9TY43	A0A0C9TY43
A0A2G9QEZ6	A0A2G9QEZ6
A0A2U3TVM2	A0A2U3TVM2
A0A2U3TVM2	A0A2R8PYF9
A0A2U3TVM2	A0AB32TBS0
A0A2U3TVM2	W5ULQ9
A0A2U3TVM2	A1L1R6
A0A2U3TVM2	O08961
A0A2U3TVM2	H9F8G4
A0A2U3TVM2	A6QNQ0
A0A2U3TVM2	G3UW89
A0A2U3TVM2	B7Z9C7
A0A2U3TVM2	Q80TS5
A0A2U3TVM2	Q3V017
A0A2U3TVM2	F5H7S1
A0A2U3TVM2	Q2M1K9
A0A2U3TVM2	A0A7P0Q1F0
A0A2U3TVM2	Q8IYZ2
A0A2U3TVM2	D3ZQM2
A0A2U3TVM2	A0A0G2JT53
A0A2U3TVM2	J3KTI4
A0A2U3TVM2	Q6NUD7
A0A2U3TVM2	Q6KAS7
A0A2U3TVM2	A8KAK2
A0A2U3TVM2	H7BYU6
A0A2U3TVM2	K7BVL1
A0A2U3TVM2	Q96K83
A0A2U3TVM2	A0A2R8M2T7
A0A2U3TVM2	A7Z030
A0A2U3TVM2	H9FSM2
A0A2U3TVM2	W6A3K5
A0A2U3TVM2	D0E8G8
A0A2U3TVM2	A1Z9R4
A0A3B3U484	A0A3B3U484
A0A3Q2PFS6	A0A3Q2PFS6
A0A498L7N7	A0A498L7N7
A0A4X2JZQ0	A0A4X2JZQ0
A0A5F8GZW2	A0A5F8GZW2
A0A667ZNZ4	A0A667ZNZ4
A0A667ZNZ4	A8WGS6
A0A667ZNZ4	B1WB40
A0A667ZNZ4	A0A3P8XZH9
A0A667ZNZ4	B2RZE9
A0A667ZNZ4	F6ZA80
A0A6J0YZF6	A0A6J0YZF6
A0A6J0YZF6	A0A6J0Z0Z4
A0A6J0YZF6	A0A8U0T0G7
A0A6J0YZF6	A0A7J7S582
A0A6J0YZF6	A0A7J7S5F3
A0A6J0YZF6	A0A6I9KSS4
A0A6J0YZF6	A0A5N3VDY5
A0A6J0YZF6	A6QPD1
A0A6J0YZF6	A8K5A9
A0A6J0YZF6	Q07230
A0A6J0YZF6	A0A5N3XA82
A0A6J0YZF6	A0A8C0XQQ8
A0A6J0YZF6	A0A0C4DFQ3
A0A6J0YZF6	Q7Z7L9
A0A6J0YZF6	M3YW06
A0A6J0YZF6	A0A8J6KS42
A0A6J0YZF6	A0A8B7A5T7
A0A6J0YZF6	F1M9Z0
A0A6J0YZF6	Q5RCD9
A0A6J0YZF6	G1U2H2
A0A6J0YZF6	U3FGU6
A0A6J1V3Z4	A0A6J1V3Z4
A0A6J1V3Z4	A0A9F5IJI3
A0A6P3IPV5	A0A6P3IPV5
A0A6P3IPV5	A0A1S3WW89
A0A6P3IPV5	A0A8C4MR03
A0A6P3IPV5	A0A2K5SI22
A0A6P3IPV5	A0A6I9I5D5
A0A6P3IPV5	A0A811ZKC2
A0A6P3IPV5	U3FG81
A0A6P3IPV5	A0A2K6KBD8
A0A6P3IPV5	A0A2K6UM75
A0A6P3IPV5	A0A2K6KBE0
A0A6P3IPV5	A0A2K6UM96
A0A6P3IPV5	A0A667I420
A0A6P3IPV5	Q8TF47
A0A6P3IPV5	A0A6J3IC85
A0A6P3IPV5	G3QK12
A0A6P3IPV5	A0A286XNH0
A0A6P3IPV5	F7A3V5
A0A6P3IPV5	A0A8C9DM55
A0A6P3IPV5	F7A3Y4
A0A6P3IPV5	A0A2R9B6S3
A0A6P3IPV5	A0A8C6AGD5
A0A6P3IPV5	A0A341AJ43
A0A6P3IPV5	A0A8C9GWH3
A0A6P3IPV5	A0A8C8ZJZ5
A0A6P3IPV5	A0A341AL65
A0A6P3IPV5	A0A8B6YC38
A0A6P3IPV5	A0A2I2UIM7
A0A6P3IPV5	A0A8D2EUK4
A0A6P3IPV5	Q4V8A8
A0A6P3IPV5	A0A673UC30
A0A6P3IPV5	G7NQK9
A0A6P3IPV5	A0A6I9ZQN4
A0A6P3IPV5	A0A2K5YYD6
A0A6P3IPV5	A0A4X1W450
A0A6P3IPV5	A0A2K5YYE3
A0A6P3IPV5	A0A2I3SC92
A0A6P3IPV5	A0A2Y9P1B7
A0A6P3IPV5	A0A6J2AU25
A0A6P3IPV5	A0A8C9J8P2
A0A6P3IPV5	A0A9L0TRL3
A0A6P3IPV5	A0A2K5JVS9
A0A6P3IPV5	A0A2K5M013
A0A6P3IPV5	A0A2K6DRG9
A0A6P3IPV5	A0A8C3VVC7
A0A6P3IPV5	A0A8C8ZTM2
A0A6P3IPV5	A0A8D2C585
A0A6P3IPV5	A0A9W3F019
A0A6P3IPV5	I3N912
A0A6P3IPV5	A0A096NYC6
A0A6P3IPV5	A0A1U7QWT2
A0A6P3IPV5	A0A2K6DRH8
A0A6P3IPV5	A0A2K6GDF4
A0A6P3IPV5	A0A8D2DCB3
A0A6P3IPV5	A0A1D5R974
A0A6P3IPV5	A0A2K5JVT9
A0A6P3IPV5	A0A2K5M031
A0A6P3IPV5	A0A2K6DRI0
A0A6P3IPV5	G3RZQ7
A0A6P3IPV5	H2RI14
A0A6P3IPV5	A0A2J8VVA9
A0A6P3IPV5	A0A2K5DC95
A0A6P3IPV5	A0A1S2ZDK4
A0A6P3IPV5	A0A2K6RAH8
A0A6P3IPV5	A0A6J0E120
A0A6P3IPV5	A0A8C2LXV2
A0A6P3IPV5	A0A8C6EUM0
A0A6P3IPV5	A0A2Y9P6U5
A0A6P3IPV5	A0A2K5SI13
A0A6P3IPV5	A0A8J6ASE7
A0A7J7FP23	A0A7J7FP23
A0A7M5VA42	A0A7M5VA42
A0A8B9D1M2	A0A8B9D1M2
A0A8C3P7C5	A0A8C3P7C5
A0A8C4SBP2	A0A8C4SBP2
A0A8C4WMP0	A0A8C4WMP0
A0A8C4WMP0	A0A8C3FXT8
A0A8C4WMP0	A0A8C0JBL7
A0A8C4WMP0	A0A452GRU5
A0A8C4WMP0	A0A8C8SFT1
A0A8C5K1C8	A0A8C5K1C8
A0A8C5K1C8	A0A2Y9H744
A0A8C5K1C8	A0A2U3YVT7
A0A8C5K1C8	A0A2Y9H743
A0A8C5K1C8	A0A7F8Q2D5
A0A8C5K1C8	A0A8C2MAD8
A0A8C5K1C8	A0A2Y9G0F7
A0A8C5K1C8	A0AAV0A8E7
A0A8C5K1C8	A6KQK1
A0A8C5K1C8	A0A2Y9II71
A0A8C5K1C8	A0A8U0NF45
A0A8C5K1C8	M3YA39
A0A8C5K1C8	A0A6I9MLL8
A0A8C5K1C8	A0A8C7B493
A0A8C5K1C8	A0A9J7K1H8
A0A8C5K1C8	A0A9X9MDY7
A0A8C5K1C8	A1L358
A0A8C5K1C8	A0A7J8C9H2
